salary,age,elevel,car,zipcode,credit,brand
74272.13,38,2,6,2,27119.69,0
68366.52,43,4,14,2,355413.20,1
90626.80,24,4,3,0,288700.33,0
31242.41,77,4,8,5,70410.16,0
130119.76,46,0,1,1,277130.03,1
41786.02,30,4,16,2,121711.70,1
52138.16,49,2,15,5,298294.82,1
86883.00,26,1,3,7,500000.00,0
49480.10,63,3,8,4,95135.23,0
105369.23,40,3,4,4,36805.25,0
107882.14,20,2,7,1,64060.67,1
79393.77,51,3,4,5,327541.20,0
110097.78,79,4,12,5,282891.09,1
107887.45,42,3,3,3,106710.72,0
96160.32,61,2,6,3,328170.53,1
61926.03,62,2,2,2,353903.98,0
89248.67,42,4,15,0,453443.39,0
120689.98,34,4,6,1,370293.43,1
73906.88,32,4,17,8,499164.34,0
30284.09,22,4,13,7,280717.29,1
109093.50,78,2,11,0,290646.80,1
97601.64,71,2,17,0,419576.28,1
106770.43,73,0,17,3,22987.74,1
75378.27,49,0,19,6,92529.98,1
101945.07,49,1,2,5,423675.16,0
61634.36,40,0,16,0,193099.20,0
87590.62,26,1,4,8,492069.24,0
73026.75,25,4,14,3,56413.10,0
115456.81,69,2,19,1,402206.17,1
51667.39,70,2,1,8,347967.02,0
127191.59,39,0,18,1,166839.03,1
134265.51,64,0,14,6,216715.76,1
77252.31,30,1,14,6,369266.26,0
32157.31,40,3,8,8,427414.47,1
101426.30,20,4,15,1,144685.82,1
31327.02,37,3,14,5,244495.55,1
91331.60,70,3,16,5,317889.04,1
119657.78,31,1,7,4,232172.26,1
59217.18,58,0,10,2,173339.58,0
128632.20,33,3,18,4,49848.98,1
23368.90,51,3,1,3,442672.57,1
20000.00,34,4,18,3,134710.08,1
101699.43,67,0,4,2,166498.08,1
130758.15,74,3,16,6,170660.55,1
104663.80,77,1,19,2,309124.89,1
63922.49,34,4,11,3,389379.41,0
140924.81,80,2,3,0,299265.76,1
39443.52,20,3,20,8,146688.40,1
78378.66,42,2,7,1,203090.91,0
106795.67,58,2,4,8,137897.61,1
33148.33,70,2,2,1,436216.74,0
140087.69,78,2,2,5,360342.89,1
140612.51,50,2,13,6,276639.74,1
72867.35,67,4,10,5,301189.26,1
94564.47,34,1,5,2,407331.42,0
115429.48,57,0,1,4,145421.51,0
55620.66,71,4,17,6,477419.17,0
33347.36,70,0,14,6,482101.27,0
39214.96,46,2,12,5,251382.07,1
52866.81,73,1,6,5,61389.59,0
24178.68,75,2,8,2,75488.26,0
45116.39,28,4,16,6,281700.23,1
27562.07,27,1,17,1,156619.72,1
127504.25,47,4,6,5,422383.88,1
35821.32,58,2,11,3,327520.89,1
86313.62,63,0,19,5,457528.82,1
150000.00,80,1,19,3,249547.66,1
129134.94,23,3,4,7,166516.16,1
111867.24,48,0,18,5,307842.53,0
117098.63,35,0,14,0,499503.21,1
51410.89,65,3,3,4,347975.11,0
104236.75,38,4,3,6,48980.45,1
65666.11,77,0,8,4,11105.34,0
110467.05,79,0,15,5,499205.99,1
105509.30,80,4,16,1,337376.12,1
135012.86,41,2,17,0,203638.79,1
133548.14,80,1,1,1,339518.28,1
86242.63,22,4,10,4,206786.43,0
56309.35,36,1,9,6,130129.93,0
27660.54,32,1,7,1,251119.37,1
139175.33,71,0,11,2,166746.02,1
100577.60,35,2,8,7,288933.14,1
35053.53,24,1,16,0,254572.02,1
136474.72,74,4,8,4,197450.69,1
147791.28,69,0,16,7,255592.97,1
39644.08,30,3,2,8,463629.84,1
39372.50,36,0,18,5,350532.37,1
26573.25,58,0,12,2,253095.64,1
149630.89,75,3,3,4,264908.79,1
72179.51,20,4,18,5,12750.90,0
79986.35,49,3,2,6,500000.00,0
44697.96,70,3,3,2,195563.43,0
32394.89,77,4,7,5,383085.77,0
143742.35,80,4,11,8,129507.01,1
129443.87,43,1,12,6,256947.43,1
138335.93,50,1,6,6,0.00,1
146398.15,23,3,8,8,256626.63,1
122047.98,65,0,5,5,480214.23,1
111228.29,75,2,9,7,390871.99,1
148080.66,25,4,6,8,348060.95,1
43943.42,78,3,10,2,140100.81,0
103863.52,44,4,17,5,120606.69,0
65915.24,71,3,16,6,283638.82,0
38684.31,31,4,1,3,326804.95,1
93678.65,22,3,11,3,462596.64,0
35888.78,59,2,14,0,16701.64,0
142943.65,62,3,1,2,222267.66,1
77634.45,39,4,16,2,378508.09,0
30479.87,32,1,9,1,447580.58,1
48970.60,44,4,3,2,500000.00,1
57425.65,34,3,16,2,100141.42,0
33813.23,32,4,12,4,380759.47,1
43465.95,79,3,11,4,305635.72,0
29502.28,73,2,18,7,326220.13,0
33075.38,64,2,13,8,80936.28,0
51743.86,42,2,19,8,233174.50,1
82071.85,37,3,14,2,81533.15,0
135270.97,39,0,15,7,9949.78,1
142641.54,41,2,8,7,127900.60,1
126044.39,26,2,2,1,113170.07,1
52016.06,68,4,11,8,193598.54,0
116184.32,57,4,20,5,472757.67,0
120265.44,52,2,18,3,98261.74,0
21068.60,67,1,12,0,75248.05,1
142443.02,80,3,14,2,217056.57,1
140838.53,53,2,12,1,46629.10,1
22242.57,48,1,20,4,233237.71,1
141371.40,57,2,20,3,6758.35,1
134775.71,43,1,17,4,410810.96,1
106922.96,46,2,8,3,296361.42,0
41864.34,60,3,15,5,58115.38,1
122989.49,37,1,20,8,227905.11,1
99902.58,71,0,9,4,282061.11,1
52389.87,54,0,15,8,430955.78,1
79392.68,74,2,1,2,329353.38,1
50889.07,20,1,14,4,258743.91,0
74794.92,76,4,2,6,412814.94,1
57894.79,51,1,5,2,237874.46,1
135945.74,50,3,13,1,238705.91,1
96689.22,54,2,10,3,487481.53,0
68762.77,23,3,5,2,114843.39,0
122551.72,49,4,6,7,302519.88,0
75542.85,43,2,20,4,282457.60,0
97699.82,44,0,5,2,247841.02,0
111351.90,60,3,14,1,73525.24,0
89588.20,57,4,2,8,135932.53,0
55621.79,27,1,10,2,175872.80,1
98651.00,78,2,1,7,41914.95,1
55803.13,57,1,19,0,40565.01,1
135735.94,57,1,18,7,262196.04,1
26841.51,62,2,10,3,87196.19,0
113979.48,50,0,15,1,346036.07,0
48157.01,29,1,4,7,185976.00,0
117185.44,22,4,11,8,459101.32,1
98307.96,70,0,3,4,176121.70,1
94581.28,53,4,19,6,462672.60,0
45999.90,27,1,7,3,457194.77,1
144319.34,44,2,1,0,210068.56,1
128510.27,25,4,20,0,286141.41,1
88681.67,50,0,6,3,482451.31,0
83085.42,27,4,14,2,347913.52,0
44655.18,48,0,11,0,155636.16,1
63422.15,61,3,1,6,61648.93,0
66195.08,21,2,1,7,298709.29,0
59426.49,40,1,11,5,135368.51,0
65083.39,74,0,11,2,185190.74,0
48500.57,49,2,13,8,44186.07,1
133551.78,32,0,1,5,125096.45,1
83480.77,58,4,8,8,258172.66,0
101616.83,71,2,19,6,287762.40,1
40712.90,56,4,17,8,380280.15,1
85140.33,66,4,11,5,355718.36,1
50684.45,65,1,8,1,309260.86,0
21918.41,30,2,10,3,232845.47,1
35650.34,37,2,8,5,202044.02,1
120762.82,57,0,9,2,161888.20,0
28074.27,68,2,11,6,336641.34,0
134369.22,43,4,17,8,454108.40,1
72072.63,74,1,1,5,310383.50,0
33582.75,41,2,5,4,309469.17,1
52508.98,41,4,12,7,112719.24,1
125507.29,39,2,6,8,432605.79,1
31456.97,75,3,6,7,187175.54,0
57417.54,67,2,11,8,245629.28,0
128443.60,52,0,6,6,365414.56,1
43844.93,20,1,7,1,233617.58,1
77137.16,63,0,16,6,113683.57,0
123739.45,29,3,4,3,224836.82,1
39736.10,60,1,18,6,157370.87,0
44723.71,63,0,1,7,44446.52,0
43343.46,29,2,20,8,52719.67,1
87155.87,51,0,7,6,18499.66,0
55984.10,59,1,15,1,129109.60,0
37227.75,27,1,13,2,283718.74,1
93365.94,59,1,13,1,165626.03,0
39356.95,45,1,7,8,163175.31,1
117416.40,69,2,1,4,88340.46,1
96194.72,63,2,18,7,297686.19,1
86617.36,49,0,3,5,0.00,0
24857.24,67,0,17,1,115343.82,1
147433.18,62,0,5,2,305400.27,1
77488.80,67,3,9,1,215682.84,0
123755.27,46,2,15,7,303085.90,0
142248.74,62,3,15,1,121725.77,1
83675.29,50,3,16,2,15254.61,0
53723.67,42,2,10,2,371135.01,1
113880.93,54,1,20,4,236705.33,0
47344.66,50,4,10,8,110516.37,1
122498.21,57,0,4,7,393515.21,0
21382.35,65,1,8,1,434788.36,1
20358.60,76,4,16,6,330197.11,1
50977.26,67,0,6,4,55907.80,0
70251.68,68,1,3,4,181439.20,0
41934.89,31,4,18,2,267103.27,1
104290.63,40,1,18,4,361985.59,0
25441.67,69,2,11,7,0.00,0
94419.26,67,2,12,6,205764.29,1
36666.60,77,0,8,0,8796.51,0
124819.76,58,4,6,1,357089.38,0
115743.31,72,2,7,3,394712.49,1
145579.84,60,4,12,7,123743.81,1
30731.86,67,3,12,6,460325.30,0
76194.48,24,2,1,3,386230.89,0
84485.72,53,3,16,4,35093.98,0
69060.42,62,4,15,4,175509.35,0
147664.55,59,0,14,2,259877.22,1
108134.90,62,0,17,1,409078.01,1
106135.55,64,3,4,0,380742.65,1
150000.00,31,0,4,6,369432.22,1
120488.28,71,1,16,2,82909.52,1
70484.29,64,4,16,3,269514.31,0
67682.16,62,2,19,8,124058.83,0
60052.26,23,2,13,7,443870.35,0
88358.02,35,2,15,4,58007.03,0
127070.43,73,3,13,5,204311.89,1
27113.59,73,0,7,4,175190.57,1
67812.01,61,2,19,0,338751.53,0
113661.97,64,0,17,8,48868.14,1
58703.78,40,4,17,7,309403.23,0
136559.15,62,4,12,6,134969.61,1
109693.11,39,2,16,5,236985.51,0
30520.82,64,2,3,8,470382.90,0
32072.90,65,3,15,8,0.00,0
101915.90,78,1,2,1,168794.79,1
28591.71,27,0,3,7,123190.86,1
74424.90,71,2,14,6,17805.79,0
43954.31,41,0,2,0,305835.19,1
140666.14,74,4,13,3,237007.22,1
131764.77,39,3,3,6,447096.67,1
40330.37,20,0,14,2,395649.52,1
129555.84,34,0,19,8,268314.44,1
111910.58,32,1,2,0,154482.16,1
82883.27,34,3,11,0,484508.33,0
22464.69,42,2,15,3,189268.80,1
75517.19,35,3,14,7,441590.41,0
134747.44,31,3,12,6,91338.95,1
125058.22,39,4,15,7,45635.51,0
72930.74,32,0,12,0,310391.17,0
144729.52,52,1,12,0,147380.89,1
35963.65,39,0,20,1,83010.15,1
46319.92,67,0,11,5,23218.82,0
130084.73,50,2,18,0,239895.31,1
66513.33,55,2,17,8,462989.68,1
20492.19,30,4,16,3,207847.64,1
95347.06,41,3,1,5,440664.18,0
58219.97,36,1,8,5,103387.57,0
109703.92,54,2,5,4,50913.20,0
34268.95,60,3,13,0,244495.17,0
74949.91,57,3,3,6,151914.14,1
137443.84,74,3,13,6,298857.29,1
135524.69,70,3,11,5,375529.34,1
117943.42,51,4,9,6,472660.00,0
108041.66,22,0,18,2,404858.10,1
150000.00,23,0,11,8,284343.53,1
76259.47,49,2,3,5,62168.75,1
72386.57,34,4,17,1,175333.43,0
137212.22,74,0,12,3,0.00,1
20000.00,32,4,3,2,153224.21,1
77925.28,40,3,12,5,168427.83,0
141473.96,53,4,3,1,229324.19,1
65435.78,39,2,8,6,138134.69,1
86967.13,46,4,13,2,403122.47,0
39444.96,48,3,5,7,55049.59,1
117416.17,38,4,19,4,468239.73,0
82893.42,71,0,3,4,0.00,1
103097.36,24,0,18,5,49993.76,1
55557.83,76,3,15,6,49749.83,0
44813.60,63,0,15,0,126135.29,0
81681.69,76,4,10,2,291713.72,1
24197.85,20,3,11,6,130022.39,1
136610.94,64,3,12,3,303383.33,1
40594.40,50,3,20,1,429041.53,1
90137.82,72,3,1,3,500000.00,1
41055.19,45,2,5,7,243582.30,1
46829.85,61,3,4,4,276588.84,1
136181.92,33,2,3,4,118632.11,1
107338.40,65,1,7,7,215854.26,1
48670.76,23,0,13,8,30936.45,0
145817.16,41,4,13,2,166560.95,1
104734.86,20,2,8,6,464828.10,1
25602.69,57,4,11,8,273511.36,1
31135.11,46,4,10,0,265472.05,1
49669.08,36,1,12,2,393798.14,0
146084.46,31,1,2,2,46249.33,1
67446.92,27,4,19,8,447767.92,0
124897.67,74,3,4,6,417882.47,1
56617.91,61,2,7,6,135835.66,1
139324.85,37,2,16,0,487988.48,1
44373.44,56,1,10,2,19996.14,1
26817.41,67,2,4,6,135701.77,0
32388.32,66,2,4,2,211757.06,0
115964.74,53,1,15,6,336549.34,0
119213.68,72,4,17,5,356428.97,1
25658.92,52,1,4,7,61896.99,1
80540.51,33,0,20,7,404760.22,0
149735.19,45,2,1,6,447153.46,1
142633.79,78,2,14,5,417128.39,1
72669.78,45,0,12,0,325060.71,0
70914.09,66,1,7,0,500000.00,0
22968.38,55,0,11,1,471949.33,1
115376.34,45,2,9,2,420504.22,0
89600.05,37,1,20,6,362611.59,0
20000.00,29,2,19,5,176410.10,1
129126.95,32,3,14,4,236372.42,1
27117.18,23,2,3,8,254577.83,1
128317.13,48,4,14,7,361202.85,1
73284.46,71,0,2,7,355150.58,0
77848.02,54,0,3,1,358252.70,0
130049.02,53,1,15,1,45908.19,1
70863.14,53,1,14,5,475179.25,0
76156.03,80,4,15,3,57003.90,0
137260.14,32,3,2,1,11433.61,1
46566.81,79,4,14,6,294168.67,0
80753.25,78,4,19,3,477387.19,1
34970.74,29,0,18,0,71451.70,1
67943.08,72,2,2,2,153466.87,0
28062.17,78,4,12,2,139336.44,0
110809.15,34,2,12,1,99188.38,1
50245.85,46,4,14,6,303771.61,1
78135.95,69,0,18,3,199758.51,1
69063.15,63,1,3,6,342332.78,0
106712.42,77,3,18,4,98341.96,1
40449.45,30,2,6,2,12981.23,1
101672.29,54,3,15,6,182238.69,0
76514.17,34,2,20,2,155711.00,0
91718.71,72,3,4,4,336327.53,1
114053.94,27,3,5,3,243121.58,1
94164.96,42,4,1,1,111020.52,0
40827.50,53,1,6,2,218957.07,1
65202.87,50,3,7,6,370855.31,1
36090.45,77,4,20,4,23231.40,0
59860.56,67,4,11,5,275116.50,0
40710.54,51,2,14,4,66004.92,1
128514.34,68,2,18,7,434086.39,1
24607.86,65,0,2,3,486363.08,1
136027.19,35,1,13,7,330936.18,1
43730.98,58,3,2,5,279438.63,1
53626.34,68,0,19,0,215830.68,0
146582.75,34,2,12,0,191514.46,1
32252.30,28,4,14,3,111620.12,1
138142.72,21,1,17,1,467252.66,1
127101.37,20,2,5,2,63083.17,1
81121.27,27,3,19,7,192838.57,0
142054.11,38,2,20,4,0.00,1
129282.86,63,0,15,6,489610.09,1
59286.97,59,1,15,2,262798.96,0
82826.90,61,0,4,0,298506.95,1
90829.12,38,2,5,2,369929.87,0
129600.48,53,1,12,5,203907.96,1
76515.38,60,2,5,1,41237.86,0
20738.69,46,3,7,5,318337.27,1
142378.39,69,0,16,8,138129.25,1
85376.16,22,0,6,4,297001.28,0
68184.78,45,0,19,5,328082.50,1
47769.75,21,1,16,0,282781.49,1
70307.40,31,0,8,0,319848.86,0
77287.92,73,3,8,6,215652.58,0
24383.68,27,0,9,8,291317.58,1
107643.17,44,2,11,1,438997.03,0
82059.08,40,2,12,6,461265.54,0
41714.67,33,3,13,1,184406.21,1
51230.20,60,4,19,2,10941.89,0
89673.82,57,4,6,6,424680.42,0
63661.23,69,1,5,3,259029.33,0
100595.72,38,0,1,5,147765.30,1
78520.16,43,2,10,1,309563.42,0
82778.02,31,3,12,1,313861.06,0
58112.92,49,4,1,6,116904.37,1
67206.96,45,2,13,6,116232.10,1
137817.64,49,3,9,3,360582.15,1
41528.22,40,4,3,3,299716.83,1
35253.91,55,2,11,7,409831.93,1
125839.94,75,0,2,4,480736.70,1
96433.51,54,4,7,4,225062.44,0
79240.70,23,3,10,7,45323.50,0
30739.59,73,0,3,1,372064.20,0
93471.69,29,4,1,2,326958.04,0
30605.24,67,1,6,0,300380.21,0
140367.92,77,0,13,2,129774.20,1
120825.21,39,1,10,4,31205.51,0
79209.11,55,1,18,5,20353.71,0
67231.22,37,3,2,1,263529.04,0
83343.62,51,3,11,6,29275.26,0
122195.07,64,0,16,1,66612.80,1
39486.22,20,0,19,6,33042.08,1
63687.82,22,2,18,2,126930.45,0
47173.16,51,0,19,6,195950.00,1
40644.55,62,1,9,5,382754.71,0
146647.54,66,2,9,6,22918.70,1
70896.28,79,3,4,6,402424.64,1
47002.36,49,3,18,0,251361.77,1
30087.00,41,0,18,5,301833.18,1
33216.01,24,1,3,6,338149.05,1
76191.70,32,4,2,2,53163.72,0
104264.14,80,4,18,5,261806.83,1
29772.22,23,0,20,5,498595.10,1
59453.60,65,1,4,3,287074.89,0
107901.02,47,2,20,3,122459.77,0
79349.85,50,4,7,3,225845.88,0
87339.76,35,3,17,2,77764.79,0
67565.30,29,2,20,3,24548.74,0
106207.89,51,4,4,5,295812.12,0
83917.98,75,0,16,4,264413.15,1
23632.85,28,4,5,6,425511.04,1
127787.36,62,4,18,1,94423.18,1
135364.22,35,4,9,7,130668.18,1
120117.92,66,3,18,0,481416.07,1
47910.76,31,3,12,3,117976.32,0
57681.90,77,0,1,3,170380.19,0
35060.31,33,1,18,6,234557.87,1
51540.12,69,1,7,5,120711.06,0
38645.12,52,1,4,5,359099.55,1
133278.94,48,2,13,7,405407.85,1
96888.88,73,1,18,2,25686.65,1
39402.29,66,3,19,6,364299.95,0
85326.20,67,0,6,6,23231.38,1
106442.97,61,3,14,6,500000.00,1
51601.31,57,4,10,5,455625.80,1
113939.87,55,4,8,4,103808.17,0
129999.91,66,3,14,4,214934.36,1
53801.64,34,1,10,2,206700.00,1
72344.01,28,2,18,2,307616.96,0
31393.23,71,4,1,5,277028.44,0
97401.53,22,4,5,3,390447.74,1
65856.40,33,0,9,6,182699.16,0
65771.48,40,2,14,6,27548.44,0
54648.65,32,2,10,3,291652.03,0
104742.16,62,4,17,4,0.00,1
53822.64,70,4,4,6,248389.32,0
67854.08,67,4,13,6,1903.79,0
110525.76,46,2,9,2,327896.27,0
32160.43,33,1,13,1,394305.43,1
44681.19,43,0,19,8,33693.53,1
140250.55,46,0,15,2,120848.78,1
102210.71,38,3,8,0,234591.93,1
125201.39,59,2,17,6,233400.42,1
114450.82,68,3,18,5,83258.60,1
43330.17,22,3,4,0,370846.76,1
134511.93,26,2,12,4,55480.07,1
32881.01,67,0,11,1,376424.29,0
53775.02,46,2,16,3,168430.61,1
147841.45,46,2,20,3,92640.99,1
138428.38,59,3,15,2,291339.52,1
122627.91,52,0,15,3,156008.35,0
87553.70,39,4,6,0,150613.41,0
140566.57,64,4,11,2,278414.93,1
144661.73,49,0,20,8,71438.58,1
24385.01,80,3,4,5,0.00,1
59565.84,53,1,12,8,267996.02,1
146528.98,64,3,1,1,79824.69,1
70973.00,73,3,5,4,365743.80,0
90815.60,72,2,1,3,9099.48,1
35220.04,50,2,15,1,94119.32,1
132024.16,26,3,3,1,447693.72,1
98929.56,42,0,2,2,428279.17,0
44416.81,61,2,5,7,379921.66,1
124528.78,37,3,20,2,55452.11,1
108609.12,33,2,3,4,165673.25,1
63508.00,58,3,12,3,484959.68,1
80013.38,60,4,14,2,449004.82,0
135094.12,79,3,20,6,104209.83,1
124450.02,37,0,17,7,255924.20,1
94466.54,55,0,8,4,263303.48,0
145090.38,72,3,13,4,63908.66,1
